Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Yuu, JP,9,11.1%,1.5,2.1,5.1,5.4,6.8,338,67.7%,23.7,398,0.77,0.4,0.1,0.17,-613,-18,-330,33.3%,33.3%,0,-,2021 Summer
ZWuJi, CN,9,11.1%,1.6,1.8,2.6,2.2,8.0,353,41.6%,27.9,479,-,0.44,0.3,0.1,0,0,0,-,-,0,-,2021 Summer
ZYF, CN,19,10.5%,1.4,0.5,3.9,4.9,1.1,206,64.1%,7.1,110,-,1.54,0.22,0.51,-,-,-,-,-,0,-,2021 Summer
ZaFiR, GR,33,42.4%,3.1,0.8,3.4,9.7,1.2,240,64.4%,7.1,145,2.73,1.45,0.43,0.45,-90,3,-58,21.2%,9.1%,0,-,2021 Summer
Zaki, CZ,4,25%,1.8,1.0,4.0,6.3,1.2,233,71.5%,10.2,178,3.1,1.64,0.39,0.45,-98,7,96,0%,0%,0,-,2021 Summer
Zamulek, PL,37,56.8%,3.3,3.1,2.2,4.5,8.9,409,56.6%,30.6,580,1.4,0.63,0.32,0.18,-104,1,34,13.5%,10.8%,0,5,2021 Summer
Zanzarah, RU,18,38.9%,2.7,2.2,3.5,7.1,5.4,323,76.9%,17.8,334,1.39,0.52,0.28,0.34,-448,-8,-383,27.8%,16.7%,0,1,2021 Summer
Zaremba, PL,39,56.4%,3.6,1.0,3.2,10.4,1.1,255,71.1%,9.0,191,2.46,1.49,0.34,0.41,345,1,267,41%,5.1%,0,-,2021 Summer
Zdz, CN,24,45.8%,3.2,3.0,2.8,6.0,8.2,393,65.9%,22.2,445,-,0.44,0.19,0.2,-,-,-,-,-,0,-,2021 Summer
Zeka, KR,44,54.5%,4.5,4.0,2.1,5.5,8.1,408,69.8%,23.6,476,-,0.36,0.18,0.16,-,-,-,-,-,0,-,2021 Summer
Zekakos, GR,6,33.3%,1.8,0.8,5.5,9.3,1.2,226,63%,6.7,149,2.48,1.31,0.41,0.44,-378,6,-284,0%,33.3%,0,-,2021 Summer
Zenit, KR,17,41.2%,3.2,3.6,2.9,5.7,8.6,409,69.2%,27.2,529,1.2,0.48,0.29,0.14,-64,-2,-128,29.4%,17.6%,0,5,2021 Summer
Zenitsu, PT,17,35.3%,3.4,3.2,2.7,6.1,6.0,344,64.6%,24.2,461,1.46,0.65,0.35,0.15,-392,-8,-198,35.3%,0%,0,1,2021 Summer
Zentul, GR,2,50%,8.5,9.5,2.0,7.5,7.7,440,68.4%,25.7,549,1.28,0.4,0.39,0.2,401,-14,64,50%,50%,0,-,2021 Summer
